reconciliation_owner_status,remittance_advice_remark_code,remittance_advice_remark_code_description,claim_adjustment_reason_code,claim_adjustment_reason_code_description,no_approved_resubmissions,list_approved_resubmissions,no_rejected_resubmissions,list_rejected_resubmissions,no_denied_resubmissions,list_denied_resubmissions,no_partially_denied_resubmissions,list_partially_denied_resubmissions,unworked_claims_count,unworked_claims_list
SITE_RESPONSIBILITY,,,163,Attachment/other documentation referenced on the claim was not received.,0,"",0,"",0,"",0,"",9,"{262294,262469,298944,301136,322184,327504,432100,432349,551495}"
ATHELAS_RESPONSIBILITY,N479,Missing Explanation of Benefits (Coordination of Benefits or Medicare Secondary Payer).,163,Attachment/other documentation referenced on the claim was not received.,0,{null},1,{233421},1,{272009},0,{null},0,""
SITE_RESPONSIBILITY,N479,Missing Explanation of Benefits (Coordination of Benefits or Medicare Secondary Payer).,163,Attachment/other documentation referenced on the claim was not received.,0,{null},1,{199626},1,{271969},0,{null},0,""
ATHELAS_RESPONSIBILITY,NO_RARC,Placeholder RARC,164,Attachment/other documentation referenced on the claim was not received in a timely fashion.,0,{null},0,{null},1,{334794},0,{null},0,""
SITE_RESPONSIBILITY,NO_RARC,Placeholder RARC,164,Attachment/other documentation referenced on the claim was not received in a timely fashion.,0,"",0,"",0,"",0,"",1,{367496}
ATHELAS_RESPONSIBILITY,,,166,These services were submitted after this payers responsibility for processing claims under this plan ended.,0,"",0,"",0,"",0,"",3,"{92374,561774,581724}"
ATHELAS_RESPONSIBILITY,,,169,Alternate benefit has been provided.,0,"",0,"",0,"",0,"",1,{154199}
NON_WORKABLE,N30,Patient ineligible for this service.,167,"This (these) diagnosis(es) is (are) not covered. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",0,{null},0,{null},0,{null},1,{323959},0,""
ATHELAS_RESPONSIBILITY,,,167,"This (these) diagnosis(es) is (are) not covered. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",1,{602407},0,{null},0,{null},0,{null},0,""
ATHELAS_RESPONSIBILITY,N770,The adjustment request received from the provider has been processed. Your original claim has been adjusted based on the information received.,169,Alternate benefit has been provided.,1,{438814},0,{null},0,{null},0,{null},0,""
ATHELAS_RESPONSIBILITY,NO_RARC,Placeholder RARC,17,No description provided.,1,"{602455,null}",0,{null},1,"{134429,null}",0,{null},0,""
ATHELAS_RESPONSIBILITY,N808,Not covered for this provider type / provider specialty.,170,"Payment is denied when performed/billed by this type of provider. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",0,"",0,"",0,"",0,"",2,"{20375,49591}"
ATHELAS_RESPONSIBILITY,N95,This provider type/provider specialty may not bill this service.,170,"Payment is denied when performed/billed by this type of provider. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",0,{null},0,{null},1,{33074},0,{null},0,""
ATHELAS_RESPONSIBILITY,,,170,"Payment is denied when performed/billed by this type of provider. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",0,{null},0,{null},2,"{325164,381011}",0,{null},0,""
NON_WORKABLE,,,170,"Payment is denied when performed/billed by this type of provider. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",0,{null},0,{null},1,{325163},0,{null},0,""
NON_WORKABLE,N95,This provider type/provider specialty may not bill this service.,170,"Payment is denied when performed/billed by this type of provider. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",0,"",0,"",0,"",0,"",1,{583297}
ATHELAS_RESPONSIBILITY,,,170,"Payment is denied when performed/billed by this type of provider. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",0,"",0,"",0,"",0,"",2,"{140331,381011}"
NON_WORKABLE,,,170,"Payment is denied when performed/billed by this type of provider. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",0,"",0,"",0,"",0,"",1,{111730}
SITE_RESPONSIBILITY,,,170,"Payment is denied when performed/billed by this type of provider. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",0,"",0,"",0,"",0,"",1,{111736}
ATHELAS_RESPONSIBILITY,,,171,"Payment is denied when performed/billed by this type of provider in this type of facility. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",0,"",0,"",0,"",0,"",1,{36534}
ATHELAS_RESPONSIBILITY,,,172,"Payment is adjusted when performed/billed by a provider of this specialty. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",0,"",0,"",0,"",0,"",4,"{154021,274788,274853,274858}"
NON_WORKABLE,,,172,"Payment is adjusted when performed/billed by a provider of this specialty. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",0,"",0,"",0,"",0,"",1,{289385}
ATHELAS_RESPONSIBILITY,N130,Consult plan benefit documents/guidelines for information about restrictions for this service.,177,Patient has not met the required eligibility requirements.,3,"{296749,330216,567727}",0,{null},0,{null},0,{null},0,""
NON_WORKABLE,N30,Patient ineligible for this service.,177,Patient has not met the required eligibility requirements.,0,"",0,"",0,"",0,"",2,"{408506,408580}"
SITE_RESPONSIBILITY,N30,Patient ineligible for this service.,177,Patient has not met the required eligibility requirements.,1,{504495},0,{null},0,{null},0,{null},1,{408655}
ATHELAS_RESPONSIBILITY,,,177,Patient has not met the required eligibility requirements.,0,{null},0,{null},1,{493968},0,{null},0,""
NON_WORKABLE,,,177,Patient has not met the required eligibility requirements.,0,{null},0,{null},1,{440337},0,{null},0,""
SITE_RESPONSIBILITY,NO_RARC,Placeholder RARC,177,Patient has not met the required eligibility requirements.,0,"",0,"",0,"",0,"",1,{476017}
NON_WORKABLE,,,177,Patient has not met the required eligibility requirements.,0,"",0,"",0,"",0,"",1,{504337}
ATHELAS_RESPONSIBILITY,M15,Separately billed services/tests have been bundled as they are considered components of the same procedure. Separate payment is not allowed.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),6,"{79836,79839,79942,79953,79988,570911,null}",0,{null},6,"{79899,79915,79919,79924,79926,79970,null}",3,"{79826,79936,79940,null}",0,""
NON_WORKABLE,M15,Separately billed services/tests have been bundled as they are considered components of the same procedure. Separate payment is not allowed.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),1,"{548930,null}",1,"{511450,null}",5,"{78021,79996,153670,217684,324764}",0,{null},0,""
SITE_RESPONSIBILITY,M15,Separately billed services/tests have been bundled as they are considered components of the same procedure. Separate payment is not allowed.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),4,"{138886,138975,138982,139079}",0,{null},0,{null},0,{null},0,""
ATHELAS_RESPONSIBILITY,M77,Missing/incomplete/invalid/inappropriate place of service.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),9,"{321418,321419,342706,393256,393257,393258,401348,410022,576901,null}",0,{null},0,{null},1,"{253974,null}",0,""
ATHELAS_RESPONSIBILITY,M80,Not covered when performed during the same session/date as a previously processed service for the patient.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),4,"{79839,79942,79953,393257,null}",0,{null},2,"{78020,148310,null}",3,"{79992,143810,178019,null}",0,""
NON_WORKABLE,M80,Not covered when performed during the same session/date as a previously processed service for the patient.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),1,{138959},0,{null},1,{296708},0,{null},0,""
SITE_RESPONSIBILITY,M80,Not covered when performed during the same session/date as a previously processed service for the patient.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),4,"{138886,138975,138982,139079}",0,{null},0,{null},0,{null},0,""
ATHELAS_RESPONSIBILITY,M86,Service denied because payment already made for same/similar procedure within set time frame.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),1,"{248520,null}",0,{null},2,"{328597,586183,null}",0,{null},0,""
NON_WORKABLE,M86,Service denied because payment already made for same/similar procedure within set time frame.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),0,{null},5,"{217988,249210,249660,560163,608031}",0,{null},0,{null},0,""
NON_WORKABLE,N111,No appeal right except duplicate claim/service issue. This service was included in a claim that has been previously billed and adjudicated.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),0,{null},0,{null},0,{null},1,{320531},0,""
SITE_RESPONSIBILITY,N123,Alert: This is a split service and represents a portion of the units from the originally submitted service.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),0,{null},0,{null},1,{381664},0,{null},0,""
ATHELAS_RESPONSIBILITY,N130,Consult plan benefit documents/guidelines for information about restrictions for this service.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),5,"{248520,329283,329331,329381,332419,null}",1,"{277103,null}",6,"{255730,264353,372319,541147,561714,584739,null}",0,{null},0,""
NON_WORKABLE,N130,Consult plan benefit documents/guidelines for information about restrictions for this service.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),1,{254931},1,{276677},0,{null},0,{null},0,""
NON_WORKABLE,N211,Alert: You may not appeal this decision.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),0,{null},0,{null},1,{409673},0,{null},0,""
ATHELAS_RESPONSIBILITY,N220,Alert: See the payer's web site or contact the payer's Customer Service department to obtain forms and instructions for filing a provider dispute.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),0,{null},3,"{547841,547994,548054}",0,{null},0,{null},0,""
ATHELAS_RESPONSIBILITY,N247,Missing/incomplete/invalid assistant surgeon taxonomy.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),1,"{363391,null}",0,{null},1,"{467674,null}",0,{null},0,""
ATHELAS_RESPONSIBILITY,N362,The number of Days or Units of Service exceeds our acceptable maximum.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),5,"{79836,79839,79942,79953,79988,null}",0,{null},7,"{78020,79899,79915,79919,79924,79926,79970}",5,"{79826,79936,79940,79947,79992,null}",0,""
NON_WORKABLE,N362,The number of Days or Units of Service exceeds our acceptable maximum.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),0,{null},0,{null},2,"{78021,79996}",1,"{78023,null}",0,""
ATHELAS_RESPONSIBILITY,N380,"The original claim has been processed, submit a corrected claim.",18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),0,{null},1,"{144935,null}",2,"{117698,149521}",1,"{205671,null}",0,""
ATHELAS_RESPONSIBILITY,N381,Alert: Consult our contractual agreement for restrictions/billing/payment information related to these charges.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),0,{null},0,{null},3,"{51565,85318,124171}",0,{null},0,""
NON_WORKABLE,N381,Alert: Consult our contractual agreement for restrictions/billing/payment information related to these charges.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),1,"{131533,null}",0,{null},4,"{77643,77644,88103,131544}",0,{null},0,""
SITE_RESPONSIBILITY,N381,Alert: Consult our contractual agreement for restrictions/billing/payment information related to these charges.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),0,{null},0,{null},1,{102319},0,{null},0,""
ATHELAS_RESPONSIBILITY,N45,Payment based on authorized amount.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),1,{248520},0,{null},0,{null},0,{null},0,""
ATHELAS_RESPONSIBILITY,N522,"Duplicate of a claim processed, or to be processed, as a crossover claim.",18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),45,"{31247,39328,42314,57099,60142,70027,70062,70066,72833,76838,108120,132835,144854,144855,144856,144857,144858,144860,144868,144869,144871,144902,144912,144915,144921,144922,144926,144929,154005,156146,159265,208793,221087,228353,232725,241663,266112,266585,325052,328945,359472,380113,493699,568795,576915,null}",45,"{35322,60166,68536,82661,83602,83607,83609,107199,117435,123743,125923,127704,130999,133016,138647,141371,143805,145734,146796,149443,151645,166452,178916,203444,260325,342987,355591,461808,479192,507224,539998,540001,540060,540061,540118,540122,540170,547811,547993,548059,548137,548163,562821,576730,623797,null}",187,"{33074,44683,55975,75653,88422,88424,89654,93972,93983,101688,105387,108102,108130,108205,108319,111745,111748,112108,112110,112302,112311,116893,117691,117703,117710,118341,125796,129109,129195,133155,135459,144895,144897,144899,144905,149343,160770,162664,168905,171473,171504,171752,189275,189277,189782,202279,214737,214920,226597,235760,276650,276865,280201,280205,280258,324276,328422,328529,328597,328944,329052,380095,380098,380103,380106,380111,380114,380120,380122,380123,380125,380127,380129,380130,380131,380133,380134,406533,409488,440370,483417,483420,493969,495592,495675,495709,526000,536922,536923,536924,536925,536928,540862,547805,547806,547807,547808,547809,547810,547812,548105,548241,554680,560363,560364,560366,560369,560372,560378,560380,560381,560382,560383,560385,560386,560387,560388,560389,560390,560391,560394,560395,560409,560413,560415,560416,560419,560420,560421,560422,560423,560424,560425,560426,560427,560428,560429,560431,560432,560824,564169,569757,569816,575853,576654,585473,586183,589200,589248,589250,589253,589257,589287,589298,589367,608099,608100,608951,608954,608957,608961,608979,608985,608989,608999,609000,609322,609323,609324,609328,609331,609348,609354,609359,609366,609376,609378,609382,609384,609385,609388,609391,609394,609396,609397,609405,610956,null}",33,"{58507,76148,88447,88454,90117,107228,108303,112302,112311,144911,144932,166612,171746,217937,249434,316902,379464,380102,475781,483380,483384,483406,483407,483408,483409,483410,483413,483415,483417,483420,491827,491876,556785,null}",0,""
NON_WORKABLE,N522,"Duplicate of a claim processed, or to be processed, as a crossover claim.",18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),2,"{313109,507207,null}",19,"{82647,83570,83613,89642,107197,108125,108129,112814,169871,190876,228294,249422,254708,478968,514726,547825,547897,548937,589283,null}",109,"{52361,70296,81734,81740,81746,84166,84167,84172,84503,84573,87383,87689,88455,88460,89851,92854,108133,108190,109722,109729,109731,109818,112308,112499,112502,112503,112504,112506,117366,117690,117709,123260,135461,140827,140842,144864,145713,151700,151869,171050,178055,204009,204010,204012,204013,213355,217680,217681,217682,217683,217684,242963,245456,249045,266859,276966,277084,318610,329588,330395,335973,336937,339467,359475,380096,380099,380101,380105,380107,380109,380112,380118,380124,380126,464319,483385,483964,483965,508220,543330,552405,552406,552408,556762,556764,556768,556769,556772,556782,557806,557958,559091,560560,569755,589247,589249,589303,608948,608977,609332,609334,609335,609340,609346,609347,609352,609370,609381,609411,null}",46,"{87366,108580,112308,112499,112502,112503,112504,112506,129258,141372,144874,144878,144882,144883,144884,144886,144891,144892,144893,144896,144900,144903,144916,144917,144919,144925,144927,144928,144933,201666,204009,204010,204012,204013,217680,217681,217682,217683,228451,241619,242022,272339,380100,483385,506888,507205,null}",0,""
SITE_RESPONSIBILITY,N522,"Duplicate of a claim processed, or to be processed, as a crossover claim.",18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),0,{null},3,"{177985,182170,428379,null}",10,"{102319,112301,112310,189274,189276,336614,560414,560417,560418,589251,null}",2,"{112301,112310,null}",0,""
ATHELAS_RESPONSIBILITY,N552,Payment adjusted to reverse a previous withhold/bonus amount.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),0,{null},0,{null},1,{85318},0,{null},0,""
NON_WORKABLE,N552,Payment adjusted to reverse a previous withhold/bonus amount.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),0,{null},0,{null},1,{88103},0,{null},0,""
ATHELAS_RESPONSIBILITY,N694,Alert: This reversal is due to a resubmission/change to the claim by the provider.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),1,"{156146,null}",0,{null},2,"{529011,540862,null}",0,{null},0,""
NON_WORKABLE,N694,Alert: This reversal is due to a resubmission/change to the claim by the provider.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),0,{null},0,{null},6,"{463868,463874,560500,560503,560505,560520}",0,{null},0,""
ATHELAS_RESPONSIBILITY,N702,Decision based on review of previously adjudicated claims or for claims in process for the same/similar type of services.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),78,"{17172,28168,28259,47703,70257,79836,79839,79931,79942,79953,79988,87259,105400,105585,105655,105670,105686,134713,134740,135331,140795,148308,148341,156179,178020,217981,220812,231389,233299,233300,233861,233863,242180,246592,246618,248520,265163,265233,265266,265444,265463,265468,265470,265477,265478,265493,265497,265507,295049,295050,295051,304708,321418,321419,343004,359232,371813,393256,393257,393258,401348,402393,410022,425323,425324,425327,440156,472597,557559,561674,568648,568655,570911,571555,576901,587870,589541,589542,null}",55,"{84362,84365,84379,92144,92150,95396,108202,108381,127826,129216,129233,129262,129265,149319,178758,202407,245833,277456,324767,358282,358286,358287,358290,358292,540040,540668,547857,547858,547943,547946,547947,547953,547958,547963,547976,547980,547982,547996,548015,548016,548051,548103,576986,577064,585053,615369,619376,619377,619383,619384,619385,619389,622073,622075,628288,null}",75,"{51565,78020,79899,79915,79919,79924,79926,79970,88294,92120,129930,135341,148310,154209,168898,178039,198553,214993,265469,265474,265475,265488,276905,299735,324186,324310,343851,371817,371822,371825,371827,371829,372431,372458,372459,372460,372463,452612,452613,452614,452616,452617,452618,452619,452620,452621,452622,491787,491788,491812,491818,491822,491841,491844,491858,491865,491866,491867,491870,491877,491881,491884,491901,491910,491950,491951,494056,494063,494069,494072,496801,496972,548055,587618,612626,null}",27,"{47738,70058,70274,79826,79911,79936,79940,79947,79992,96055,143810,155097,178019,253974,265506,310527,310633,321509,373456,373457,373477,373498,424728,560191,570942,570959,571061,null}",0,""
NON_WORKABLE,N702,Decision based on review of previously adjudicated claims or for claims in process for the same/similar type of services.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),5,"{131533,138959,178654,227914,548930,null}",73,"{80999,81277,81695,81716,81718,84352,84354,84369,84371,84372,84376,84381,84392,84406,88297,92098,92116,92124,92128,92145,92158,92166,92179,108201,108206,108207,108242,108247,108251,108369,108433,108435,108529,121823,123670,123671,127801,127802,127805,127825,127833,127835,127836,127838,129192,129205,129206,129210,129217,129218,129221,129222,129230,129232,129237,129277,131090,131095,154662,155945,358283,358284,358285,358289,358291,358293,358294,358295,511450,536875,547961,547972,619380,null}",36,"{33077,77643,77644,78021,78339,79996,131544,138806,151547,153670,168926,178183,178184,276964,277128,296708,324764,352698,371791,371819,371820,371821,371823,371824,371826,371828,463868,463874,493677,508188,536892,560500,560503,560505,560520,560566,null}",4,"{78023,135327,296727,545968,null}",0,""
SITE_RESPONSIBILITY,N702,Decision based on review of previously adjudicated claims or for claims in process for the same/similar type of services.,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),6,"{28255,134769,138886,138975,138982,139079,null}",3,"{358288,440536,478409,null}",4,"{371818,373458,381664,409178,null}",2,"{440484,611958,null}",0,""
ATHELAS_RESPONSIBILITY,NO_RARC,Placeholder RARC,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),17,"{44219,107164,155038,203791,314879,343235,362465,362537,363497,367500,367502,394703,404175,438817,461860,467716,468132,null}",7,"{21379,28503,30522,34790,40001,220825,440898,null}",45,"{151193,315310,316223,320686,362345,362514,362531,362557,362580,362591,362610,362617,362624,362687,362722,362733,362737,362797,362829,362831,362864,362956,362966,362968,363714,363915,367864,367947,368043,368089,368157,368192,368228,368280,372319,404105,407668,421203,440902,440903,467541,467586,467794,467893,467997,null}",17,"{154267,195092,362368,362373,362474,362544,362907,363594,364055,368168,404117,404131,404199,467796,467917,467995,467996,null}",0,""
NON_WORKABLE,NO_RARC,Placeholder RARC,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),0,{null},2,"{162889,166758,null}",7,"{166727,171506,198269,208923,440894,440895,440900,null}",1,"{123688,null}",0,""
ATHELAS_RESPONSIBILITY,,,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),81,"{16979,44217,46723,52015,58643,70003,70014,70017,70024,70037,70044,70045,70047,70052,70059,70069,70282,82640,89579,89875,90391,90394,91432,103366,107165,108562,134896,135232,155605,156146,170875,171080,192756,241103,250846,254004,277309,277314,283086,287167,287902,322101,322102,333008,337151,344989,345027,345158,345160,349032,367818,370970,406564,406565,406566,472680,475919,475921,475922,475924,478767,483585,539494,540831,540858,540954,548032,560502,567116,567685,570849,570891,570907,584349,584879,589213,589223,589232,589321,591111,610890,null}",68,"{39338,39986,40679,42296,44709,46361,47518,49183,50119,51740,82525,82663,82666,82695,82699,83573,83590,112817,134886,138946,178620,178917,191777,215055,232978,249439,250758,255715,272981,272982,273036,310588,310697,318217,318278,355591,440554,440636,463148,463149,479192,509282,547824,547851,547854,547872,547878,547898,547936,547948,547950,547978,548001,548051,548132,548187,561527,561530,561532,567025,568697,588901,603702,609400,619374,635237,642868,644108,null}",146,"{6804,6816,6817,17434,17444,17829,18968,39232,39234,54203,59708,71337,78025,78873,81743,87334,87338,87346,87371,87387,88450,88452,88466,89488,89601,95464,108138,108184,108204,108268,123707,135333,135413,154346,154374,194559,204459,204506,214743,218039,223100,223105,223106,232702,233333,235051,235721,239057,239129,245746,248514,283124,287169,287172,300193,301890,301891,315267,315270,315323,316214,318218,318678,322100,340018,345490,358843,358849,359379,371719,395951,395952,408461,408487,409536,425328,428332,428339,428343,428345,428346,428348,428352,428353,428354,428355,428357,428360,428361,438827,439957,440009,440015,440842,440844,461800,464318,472743,475865,475920,475923,492803,493327,495469,499811,516094,529011,529315,531332,536718,536720,536728,539491,539493,540834,540850,541150,541152,546982,548095,557570,560224,561508,561509,561596,562098,568708,568803,570589,570598,570807,570879,576177,576183,577855,584671,585083,588848,589219,589224,603110,608099,608100,608439,612759,612781,null}",43,"{30586,102550,106022,107057,107167,107190,107221,107230,108109,108119,108137,108196,108199,108200,108318,108356,108366,108472,108491,117365,128474,128481,144627,232079,232698,235194,245717,245718,245736,283092,283100,283116,283119,283131,286521,316979,318852,343008,464339,516092,548061,563444,563446,null}",0,""
NON_WORKABLE,,,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),25,"{27945,90297,90390,90395,135730,249035,296824,325082,330997,330998,331003,331005,331007,331008,331009,331020,331021,331022,331024,331026,331027,331030,331031,331042,478888,null}",47,"{50106,51959,82647,82674,82676,82681,82684,82688,82691,83570,83577,83580,83613,87384,92310,94713,100457,107061,108117,108129,108308,110875,110898,112814,116850,129078,129110,170869,178970,205974,218060,233296,248993,255723,478969,540835,547815,547834,547931,547933,547934,547989,589246,609542,609589,618099,637686,null}",80,"{16973,17430,17431,17443,31036,33006,33221,50034,69997,70115,70183,70197,70211,81731,81734,81746,87342,87380,88436,88439,88460,89559,91431,94810,102733,108142,108190,108375,109729,109818,114536,117366,117393,117404,121629,121735,129079,129113,141361,144990,149324,154151,154399,162536,169968,175902,218040,228453,247720,249089,249098,249382,249499,250853,268041,287177,313151,317044,317046,317049,318943,320511,329675,344331,366853,371701,406555,428366,438462,472741,491915,554210,558968,558969,560208,560237,561593,561597,563335,588736,null}",52,"{17828,48686,87323,87330,87366,87374,88434,88440,89859,91106,108126,108128,108140,108580,108596,112178,154467,189331,217938,217984,226466,380306,380307,440268,534753,534756,534760,534767,534768,534782,534794,534803,534806,534812,534814,534817,534818,534821,534832,534833,534835,534838,534843,534849,534854,534856,534858,534870,534872,534878,534879,534881,null}",0,""
NON_WORKABLE_REGRETTABLE,,,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),0,{null},0,{null},3,"{560307,560310,560313}",0,{null},0,""
SITE_RESPONSIBILITY,,,18,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),1,"{220827,null}",27,"{82682,83603,107072,217690,287833,287843,287848,287850,294230,310685,310686,310687,310688,310689,311323,315964,428347,497127,508264,508265,508266,508267,508275,508328,508330,525699,540866,null}",44,"{88435,102319,110873,134635,134680,134756,162524,177328,177334,189298,189302,189311,189312,192432,192435,204014,204017,232883,239116,264474,272985,331041,331044,331045,331046,331047,331050,331051,372432,441085,441086,441093,441094,441102,475763,475765,475778,475783,475790,475800,516304,555665,555705,560517,null}",6,"{70292,108332,230453,242186,248488,316980,null}",0,""
ATHELAS_RESPONSIBILITY,M20,Missing/incomplete/invalid HCPCS.,181,Procedure code was invalid on the date of service.,0,{null},0,{null},7,"{615746,615747,615748,615749,615750,615751,615752,null}",1,"{475952,null}",0,""
NON_WORKABLE,M20,Missing/incomplete/invalid HCPCS.,181,Procedure code was invalid on the date of service.,0,"",0,"",0,"",0,"",18,"{488902,507651,534266,537060,546475,550770,555279,556825,556834,558582,581336,581445,587489,587501,588195,611389,611403,611445}"
ATHELAS_RESPONSIBILITY,M84,Medical code sets used must be the codes in effect at the time of service.,181,Procedure code was invalid on the date of service.,0,{null},0,{null},0,{null},1,{475952},0,""
ATHELAS_RESPONSIBILITY,MA130,"Your claim contains incomplete and/or invalid information, and no appeal rights are afforded because the claim is unprocessable. Please submit a new claim with the complete/correct information.",181,Procedure code was invalid on the date of service.,0,{null},0,{null},7,"{615746,615747,615748,615749,615750,615751,615752}",0,{null},0,""
NON_WORKABLE,MA130,"Your claim contains incomplete and/or invalid information, and no appeal rights are afforded because the claim is unprocessable. Please submit a new claim with the complete/correct information.",181,Procedure code was invalid on the date of service.,0,"",0,"",0,"",0,"",18,"{488902,507651,534266,537060,546475,550770,555279,556825,556834,558582,581336,581445,587489,587501,588195,611389,611403,611445}"
ATHELAS_RESPONSIBILITY,N517,Resubmit a new claim with the requested information.,181,Procedure code was invalid on the date of service.,0,{null},0,{null},1,{381044},0,{null},0,""
NON_WORKABLE,N522,"Duplicate of a claim processed, or to be processed, as a crossover claim.",181,Procedure code was invalid on the date of service.,0,{null},0,{null},1,{577462},0,{null},23,"{496170,546415,546463,550209,550285,550357,550382,550414,555340,555385,558566,558661,562803,562810,563934,567728,567740,574782,581420,611390,611399,611419,611444}"
ATHELAS_RESPONSIBILITY,,,181,Procedure code was invalid on the date of service.,1,"{325981,null}",1,"{268472,null}",1,"{283061,null}",7,"{262285,262286,262287,283060,283082,283115,287161,null}",0,""
NON_WORKABLE,,,181,Procedure code was invalid on the date of service.,0,{null},0,{null},0,{null},10,"{283062,283063,283081,283089,283090,283117,283120,283121,283123,283134}",0,""
ATHELAS_RESPONSIBILITY,,,182,Procedure modifier was invalid on the date of service.,2,"{561688,591111,null}",0,{null},2,"{531346,585083,null}",0,{null},0,""
NON_WORKABLE,N56,Procedure code billed is not correct/valid for the services billed or the date of service billed.,181,Procedure code was invalid on the date of service.,0,"",0,"",0,"",0,"",4,"{582517,582538,582628,585815}"
ATHELAS_RESPONSIBILITY,,,181,Procedure code was invalid on the date of service.,0,"",0,"",0,"",0,"",3,"{567714,567763,575666}"
NON_WORKABLE,,,181,Procedure code was invalid on the date of service.,0,"",0,"",0,"",0,"",1,{558553}
SITE_RESPONSIBILITY,,,181,Procedure code was invalid on the date of service.,0,"",0,"",0,"",0,"",5,"{153763,164603,188693,228755,409999}"
ATHELAS_RESPONSIBILITY,,,182,Procedure modifier was invalid on the date of service.,0,"",0,"",0,"",0,"",1,{394230}
SITE_RESPONSIBILITY,,,182,Procedure modifier was invalid on the date of service.,0,"",0,"",0,"",0,"",2,"{246579,286718}"
